country,year,Current account balance (% of GDP),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),GDP (current US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita growth (annual %),GNI per capita (constant 2015 US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)",Poverty headcount ratio at national poverty lines (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Argentina,2010 [YR2010],-0.383118699737132,8.93145346549583,21.5297506991779,69.5387958353262,1928.65235658729,18.9338234053709,423627422092.49,247.824346395484,10.1253981561002,9.84429639847724,13085.5505548493,16.0371898581987,26.9885079767917,60.187,75.721,26.9885079767917,7.714
Argentina,2011 [YR2011],-1.00728084144866,8.59001187423635,22.0519598226322,69.3580283031315,1952.05105293095,18.4492091453155,530158122010.442,306.567321408416,6.00395169280579,4.78868313859435,13781.6372267896,16.7569458546489,26.9885079767917,60.651,76.124,26.9885079767917,7.18
Argentina,2012 [YR2012],-0.39159512386959,8.36641654523205,21.8109830172561,69.8226004375119,1936.80353979442,16.2378594620246,545982375701.128,374.977453364052,-1.0264204544321,-2.14528444981812,13558.9828425281,14.2886829096862,26.9885079767917,60.362,76.467,26.9885079767917,7.217
Argentina,2013 [YR2013],-2.37749566620574,8.18454997204581,22.1224860798429,69.6929639481113,1967.02167752077,14.6171733884386,552025140252.246,464.780047776689,2.40532378079436,1.26568517537076,13764.9829091787,14.7167556136651,26.9885079767917,59.962,76.491,26.9885079767917,7.1
Argentina,2014 [YR2014],-1.74400211981355,8.06158750475427,22.3318950513884,69.6065174438573,2029.92282543737,14.4054785893756,526319673731.638,652.007262571679,-2.51261532081394,-3.57858050983289,13288.6704323099,14.0013150558519,26.9885079767917,59.444,76.755,26.9885079767917,7.268
Argentina,2015 [YR2015],-2.96292666513535,7.84271897891513,22.3133620147444,69.8439133955895,26.9885079767917,10.7056520504538,594749285413.212,825.310738210731,2.73115982828944,1.62966427946263,13530.9262760371,11.7805740385254,26.9885079767917,26.9885079767917,76.76,26.9885079767917,26.9885079767917
Argentina,2016 [YR2016],-2.70922168361454,7.69432511495219,21.5555702812962,70.7501046037516,26.9885079767917,12.5270951690009,557532320662.955,1164.67339673925,-2.08032784377811,-3.11006389821465,13062.1352296832,13.5667926798789,26.9885079767917,26.9885079767917,76.308,30.3,26.9885079767917
Argentina,2017 [YR2017],-4.83995921807391,7.50320506463723,20.7651586242367,71.731636311126,26.9885079767917,11.3202833596733,643628393281.364,1467.56277769074,2.81850297775918,1.75764818265694,13236.1795314936,13.9693177780045,26.9885079767917,58.808,76.833,25.7,8.347
Argentina,2018 [YR2018],-5.16055257152294,7.41370090688425,20.3054819997467,72.280817093369,26.9885079767917,14.4366857499034,524819892360.176,2084.4332574088,-2.61739646282038,-3.60160975657155,12619.2035743605,16.3258502050892,26.9885079767917,59.595,76.999,32.0,9.221
Argentina,2019 [YR2019],-0.779998447561849,7.33087976070694,20.248568824377,72.4205622258285,26.9885079767917,17.9248783778462,447754683615.225,3109.88226850322,-2.00086100285785,-2.96956249866219,12206.1988385649,14.7057366680037,26.9885079767917,60.289,77.284,35.5,9.843
